LGA_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
LGA30250,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,14,9,12,12,0,0,0,46,0,4,0,4,3,0,0,0,0,8,0,0,0,0,4,0,0,0,0,5,0,0,4,4,0,0,0,0,0,9,0,3,0,3,3,3,0,0,0,13,0,0,4,0,0,0,0,0,0,7
LGA30300,14,35,95,97,133,105,49,22,4,555,0,0,0,5,0,0,0,0,0,9,4,3,8,4,3,3,0,0,0,22,0,0,7,3,6,0,0,0,0,22,7,13,14,19,22,13,7,0,0,89,0,4,10,8,9,13,3,3,0,49,15,11,12,15,12,8,7,3,0,69,0,4,3,3,7,8,3,0,0,29,0,0,9,15,10,13,3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,4,0,0,0,13,0,0,0,0,3,0,0,0,0,8,0,5,14,23,12,17,3,0,0,75,0,0,8,4,3,3,3,0,0,28,0,0,5,11,10,9,0,0,0,35,0,0,0,0,0,0,0,0,0,4,5,9,7,12,12,7,3,0,0,50,8,3,7,14,7,19,4,0,0,55
LGA30370,27,46,137,139,172,202,130,61,7,913,15,50,209,243,239,142,19,0,0,918,26,50,97,109,59,41,7,0,0,384,12,31,65,50,80,54,5,0,0,298,18,38,68,54,63,47,13,3,0,308,4,9,36,30,12,7,3,0,0,104,42,22,25,16,29,19,5,0,0,160,35,6,17,7,17,11,4,0,0,97,3,6,16,27,28,39,9,3,0,139,0,0,0,3,3,0,0,0,0,13,0,0,0,0,3,3,0,0,0,10,0,0,3,6,3,8,4,0,0,21,0,9,7,15,11,7,0,0,0,51,4,13,11,17,10,14,7,0,0,70,0,10,23,38,59,40,16,0,0,191,0,3,24,13,13,10,3,0,0,61,0,0,8,6,10,9,3,0,0,50,0,3,9,3,0,0,0,0,0,11,16,21,30,28,16,13,3,0,0,123,9,15,28,31,24,24,14,3,0,158
LGA30410,6,26,57,50,66,49,27,12,0,301,3,0,0,5,0,4,0,0,0,19,0,5,3,0,3,3,0,0,0,12,0,0,3,4,3,8,0,0,0,21,3,14,16,24,31,18,4,0,0,110,0,0,3,3,0,0,0,0,0,6,3,3,0,0,3,3,4,0,0,12,4,0,0,0,3,3,3,0,0,13,0,3,6,5,30,11,3,0,0,59,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,7,3,7,5,0,0,0,30,0,3,0,0,0,3,0,0,0,11,5,6,5,13,25,17,3,0,0,75,0,3,3,7,0,0,0,0,0,16,0,0,4,3,3,3,3,0,0,17,0,0,3,0,0,3,0,0,0,12,0,7,0,3,6,0,0,0,0,22,3,0,3,3,0,4,0,0,0,18
LGA30450,3,7,7,5,8,14,3,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,9,0,5,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30760,5,10,24,34,40,52,23,6,0,198,0,0,0,4,0,3,0,0,0,7,0,3,0,4,0,4,0,0,0,11,0,0,6,0,0,5,0,0,0,9,3,3,15,12,6,9,3,0,0,50,0,0,3,4,0,3,3,0,0,22,6,0,3,4,3,3,3,0,0,24,3,0,4,0,0,3,0,0,0,15,0,0,4,10,10,6,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,6,3,9,13,18,14,3,0,0,67,0,0,4,0,3,0,0,0,0,12,0,0,3,0,0,3,0,0,0,6,0,0,0,0,3,3,0,0,0,3,0,3,0,3,0,0,3,0,0,13,0,0,6,0,3,3,7,4,0,27
LGA30900,10,8,16,4,15,13,4,0,0,69,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,9,0,0,0,22,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
LGA31000,53,118,308,275,288,184,121,18,3,1367,8,138,1554,1790,1249,541,93,3,0,5381,388,1486,4556,4980,4965,3013,590,59,7,20037,20,165,879,1196,1104,630,82,10,0,4090,1153,3652,9548,7658,6229,3715,841,75,7,32874,213,750,2312,2565,2454,1499,379,41,3,10221,2770,4868,5865,3639,2893,1899,647,81,5,22657,4292,4635,5680,2549,1684,1041,271,40,4,20200,216,1196,5013,4743,4751,3572,913,82,12,20487,178,613,1600,1406,1177,588,121,13,0,5688,69,620,3224,3253,2460,1223,309,52,7,11225,134,556,1645,1504,1314,932,450,97,15,6643,372,2708,9510,9339,6854,3980,1265,152,14,34188,297,1195,2917,2149,1660,1168,341,41,4,9768,221,1835,5259,5630,5476,3151,503,38,0,22117,630,1674,4211,4162,3903,2975,826,75,3,18473,327,1617,5186,4956,4317,3000,877,135,14,20426,474,813,1432,1081,799,513,168,33,4,5327,324,1029,2470,2024,1836,1349,414,60,0,9508,503,1420,3556,2972,2531,1535,523,117,28,13191
LGA31750,3,3,13,3,5,3,3,0,0,40,0,0,0,4,0,5,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,7,3,0,0,11,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,6,9,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4
LGA31820,91,225,455,386,483,385,197,48,8,2279,3,25,151,178,179,94,12,0,0,647,80,148,309,322,407,364,66,3,0,1690,7,13,52,71,85,67,11,0,0,299,89,209,468,479,492,431,66,8,0,2246,28,49,76,95,124,96,18,0,0,480,307,220,317,265,239,188,43,9,0,1595,274,151,141,111,122,92,26,5,0,925,10,40,110,174,287,301,74,3,0,994,10,9,34,29,23,27,3,0,0,148,0,5,22,39,45,31,3,0,0,151,10,6,23,37,43,49,22,7,0,193,10,36,113,128,110,92,42,4,0,530,23,43,93,83,109,100,17,0,0,473,20,43,128,230,305,234,22,0,0,986,22,32,94,174,243,198,43,11,0,816,32,77,235,263,318,234,51,3,0,1224,13,16,15,15,24,28,8,0,0,119,41,77,147,148,129,141,32,0,0,724,53,96,177,162,209,128,60,17,4,906
