LGA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
LGA30250,3,0,0,0,34,36,6,0,0,0,52,55,8,0,0,0,85,95,22,0,0,0,75,91,21,3,8,0,63,85,8,0,6,0,28,46,8,0,0,4,11,23,0,0,0,3,0,3,0,0,0,0,0,3,72,7,13,9,347,449,0,0,0,0,44,47,10,0,0,0,58,64,15,0,0,0,89,107,15,0,0,0,64,81,11,0,0,3,70,82,8,3,3,7,34,50,3,0,0,5,10,23,0,0,0,3,0,7,0,0,0,0,0,0,68,3,5,16,363,459,3,0,0,0,82,84,13,0,0,0,108,114,21,0,0,0,177,201,32,0,0,0,132,174,30,3,5,3,127,169,19,4,7,9,63,101,11,0,0,8,17,44,3,0,0,7,3,9,0,0,0,4,0,0,134,13,19,32,711,901
LGA30300,0,0,0,0,136,136,9,0,0,0,92,98,90,3,3,0,149,238,173,11,8,0,79,271,231,10,31,3,66,337,177,9,46,8,58,301,148,24,35,16,19,236,67,0,12,19,8,110,14,0,0,4,3,16,901,65,135,39,605,1748,0,0,0,0,130,130,9,3,0,3,93,105,129,3,5,0,149,278,192,7,8,3,60,274,202,12,26,8,53,304,192,12,44,24,18,288,115,9,12,42,0,182,49,0,8,32,4,95,4,0,0,35,4,46,880,49,105,149,515,1692,0,0,0,0,262,266,10,3,0,3,186,205,214,8,6,0,295,517,364,15,18,3,142,545,432,29,62,10,119,639,367,23,90,27,77,582,261,32,43,57,25,415,112,0,21,50,13,202,19,0,0,41,3,64,1780,112,245,186,1118,3437
LGA30370,0,0,0,0,395,397,20,0,0,0,402,423,453,34,15,0,500,999,673,35,59,3,234,1000,665,56,109,3,173,1002,631,45,126,20,123,942,423,21,61,38,54,593,216,16,25,43,23,324,49,4,3,27,5,87,3132,204,400,128,1910,5769,3,0,0,0,381,378,45,3,0,0,307,349,536,30,22,0,339,925,652,31,73,3,175,931,705,55,87,22,103,971,567,40,99,53,48,808,365,14,39,101,16,541,146,6,11,163,6,338,17,0,4,103,4,131,3037,184,341,444,1379,5383,3,0,0,0,774,776,65,3,0,0,709,779,983,62,30,0,842,1926,1322,60,126,7,411,1935,1376,107,199,21,278,1976,1195,88,232,66,173,1749,794,34,101,140,63,1133,363,21,34,208,31,661,67,4,8,127,10,211,6169,385,740,571,3292,11152
LGA30410,0,0,0,0,61,59,3,0,0,0,85,89,65,3,0,0,80,152,89,10,5,0,46,152,144,15,21,0,42,222,129,6,30,5,33,201,97,3,17,15,18,158,59,5,5,15,6,96,10,0,0,9,3,18,602,46,78,46,375,1141,0,0,0,0,62,62,9,0,0,0,62,69,88,0,3,0,92,185,109,8,6,0,54,174,135,13,22,7,36,210,120,9,24,11,17,183,97,6,12,24,6,151,35,0,4,39,3,82,8,0,0,18,0,28,594,36,80,103,331,1143,0,0,0,0,121,122,8,0,0,0,148,158,155,8,3,0,171,337,198,13,13,0,100,327,274,31,45,4,81,431,248,16,58,16,43,382,201,14,30,39,27,304,93,5,9,58,6,172,14,0,0,28,4,51,1194,80,159,147,699,2279
LGA30450,0,0,0,0,11,11,0,0,0,0,5,5,0,0,0,0,9,20,4,0,0,0,7,13,22,0,7,0,5,32,16,0,0,0,3,27,11,0,3,0,5,16,0,0,3,0,5,4,0,0,0,0,0,0,55,0,9,4,50,129,0,0,0,0,3,3,0,0,0,0,12,12,0,0,0,0,9,11,6,0,0,0,4,15,14,0,4,3,0,22,12,0,6,0,0,21,7,0,3,5,0,16,0,0,0,5,0,5,0,0,0,3,0,3,50,3,13,8,31,104,0,0,0,0,16,16,0,0,0,0,18,19,5,0,0,0,24,26,10,0,0,0,9,23,40,0,5,3,11,56,30,0,3,0,3,40,15,0,3,6,4,33,0,0,3,5,5,5,0,0,0,3,0,3,106,0,24,13,86,232
LGA30760,0,0,0,0,43,43,3,0,0,0,36,37,31,3,0,0,67,104,66,0,7,0,26,101,78,8,4,0,31,121,127,6,21,4,18,171,102,6,17,6,6,137,34,3,9,9,4,58,3,0,0,7,3,14,439,32,53,28,232,778,0,0,0,0,36,36,0,0,0,0,32,33,36,3,3,0,50,96,80,0,11,0,32,123,97,12,11,0,16,136,112,9,17,8,4,156,74,5,14,18,3,115,16,0,5,36,3,61,3,0,0,21,3,25,424,32,73,85,173,788,0,0,0,0,83,83,3,0,0,0,66,67,68,4,3,0,118,200,146,3,21,0,56,220,172,16,19,3,53,257,241,19,36,9,20,321,176,13,35,27,4,258,51,8,11,44,4,126,5,0,0,25,4,42,862,65,125,109,405,1572
LGA30900,0,0,0,0,11,11,0,0,0,0,16,16,6,0,0,0,25,36,12,0,3,0,20,32,14,0,0,0,12,31,21,6,4,0,5,37,9,0,3,3,0,18,3,0,0,0,0,8,0,0,0,0,0,0,66,5,12,3,100,189,0,0,0,0,6,6,0,0,0,0,22,22,17,0,0,0,33,44,3,3,0,0,12,19,11,0,3,0,3,18,16,3,5,3,4,29,3,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,51,8,12,5,80,156,0,0,0,0,22,22,0,0,0,0,37,37,21,0,0,0,60,81,12,3,3,0,32,50,29,0,3,0,15,55,36,5,9,3,9,70,11,0,5,3,0,25,5,0,0,0,0,9,0,0,0,0,0,0,116,13,22,5,181,351
LGA31000,96,12,15,11,34975,35109,1370,80,49,30,47402,48925,32183,1315,1474,71,62566,97604,50935,2730,4751,187,23469,82075,46445,3227,7985,385,14075,72118,36663,2278,8270,834,7251,55295,26299,1348,5091,1500,3147,37384,12986,445,1694,2214,1219,18558,3899,108,341,2350,373,7071,210869,11548,29664,7585,194482,454147,140,12,11,13,34658,34840,2705,147,101,29,46373,49360,40196,1864,2142,145,53749,98089,52747,3419,6609,398,20710,83882,46290,3691,11560,1227,11897,74664,35168,2552,11742,3083,6153,58700,22864,1315,7779,6190,2786,40939,9558,359,2526,9626,1366,23437,2049,75,725,10211,769,13833,211721,13437,43195,30929,178459,477739,238,26,25,25,69635,69948,4072,228,149,65,93773,98289,72375,3175,3613,213,116316,195695,103681,6151,11356,583,44182,165961,92736,6919,19547,1611,25967,146777,71829,4834,20013,3920,13408,113996,49160,2660,12873,7692,5930,78318,22540,800,4214,11846,2583,41994,5948,185,1068,12562,1138,20904,422587,24985,72861,38510,372941,931879
LGA31750,0,0,0,0,4,4,0,0,0,0,9,9,3,0,0,0,21,26,17,3,3,0,9,29,15,0,4,0,9,29,31,0,3,0,7,42,11,0,0,3,0,17,0,0,0,3,0,5,0,0,0,0,0,3,82,4,13,8,56,160,0,0,0,0,8,8,0,0,0,0,10,10,12,0,0,0,12,22,6,3,5,0,8,23,11,3,0,0,3,19,24,0,3,0,0,30,7,0,0,3,0,8,0,0,0,3,0,3,0,0,0,0,0,0,57,7,7,11,51,128,0,0,0,0,18,18,0,0,0,0,23,19,12,0,3,0,34,48,25,3,4,0,16,46,24,3,3,0,10,49,56,0,6,0,10,69,14,0,0,4,0,29,4,0,0,3,0,12,3,0,0,0,0,7,140,8,19,12,107,289
LGA31820,0,0,0,0,2905,2918,118,15,0,0,2244,2375,1487,115,74,7,2746,4434,2614,279,307,10,1513,4718,3409,367,821,48,1256,5896,4067,356,1137,127,727,6419,4438,264,960,303,346,6310,2233,96,353,406,131,3226,548,13,45,288,44,941,18907,1503,3704,1203,11908,37236,9,4,0,0,2685,2705,210,16,8,3,2045,2285,1911,240,149,22,2499,4822,2942,358,518,43,1280,5147,3722,461,1087,137,924,6334,4377,410,1240,438,454,6915,3883,193,903,1036,184,6198,1613,55,312,1385,79,3440,255,6,67,1041,38,1408,18918,1750,4292,4109,10187,39255,12,4,0,4,5594,5624,327,36,9,3,4291,4663,3397,359,226,30,5239,9253,5557,635,823,58,2786,9864,7128,827,1913,187,2172,12237,8444,766,2381,566,1176,13336,8316,452,1859,1346,537,12504,3840,150,669,1792,215,6662,803,21,118,1332,82,2348,37832,3251,7995,5306,22099,76488
