LGA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
LGA30250,632,635,1269,61,49,113,127,130,260,36,47,84,55,64,114,95,107,201,91,81,174,85,82,169,46,50,101,23,23,44,3,7,9,3,0,0,582,583,1166,49,57,108,514,546,1058,9,10,26,32,33,67,564,586,1147,608,612,1218,8,10,27,78,56,135,538,566,1112,608,621,1233,9,4,15,118,118,232,9,22,28,0,0,0,6,0,6,72,71,148,18,48,62,148,164,315,55,54,111,121,98,220,10,3,15,583,596,1183,70,33,102
LGA30300,2251,2129,4377,149,151,301,349,288,643,136,130,266,98,105,205,238,278,517,271,274,545,337,304,639,301,288,582,236,182,415,110,95,202,16,46,64,2026,1947,3970,222,183,412,335,343,679,3,6,9,3,3,11,339,351,697,1908,1801,3714,129,140,263,2002,1898,3900,67,62,131,2008,1884,3885,21,27,47,306,260,566,63,69,132,7,15,19,21,52,73,584,775,1357,131,136,268,531,397,929,115,61,174,174,130,304,16,12,23,1951,1853,3806,385,301,688
LGA30370,7388,6928,14319,519,526,1048,1099,1023,2119,397,378,776,423,349,779,999,925,1926,1000,931,1935,1002,971,1976,942,808,1749,593,541,1133,324,338,661,87,131,211,6917,6534,13450,472,397,861,240,278,519,14,6,17,23,19,44,279,301,579,6081,5760,11836,611,564,1174,6394,6078,12468,386,319,706,6420,6079,12496,75,84,157,977,907,1883,190,215,403,34,60,100,109,199,308,1920,2339,4261,469,412,880,1765,1386,3150,364,283,648,589,419,1012,37,18,56,6517,6242,12760,1870,866,2737
LGA30410,1449,1419,2865,110,86,196,192,192,388,59,62,122,89,69,158,152,185,337,152,174,327,222,210,431,201,183,382,158,151,304,96,82,172,18,28,51,1278,1281,2557,174,131,304,82,74,154,3,9,6,3,6,4,86,83,169,1240,1213,2457,74,91,163,1312,1290,2602,25,36,67,1313,1277,2592,25,13,33,177,170,345,23,38,60,9,6,14,17,38,55,384,509,898,59,80,144,357,302,662,71,42,114,146,100,244,5,0,9,1248,1267,2515,389,339,725
LGA30450,149,123,267,6,3,14,11,14,28,11,3,16,5,12,19,20,11,26,13,15,23,32,22,56,27,21,40,16,16,33,4,5,5,0,3,3,128,104,239,17,13,33,13,14,25,0,0,0,3,0,3,12,14,33,132,105,240,3,5,9,140,113,250,0,0,0,134,109,241,0,0,0,9,12,24,3,0,3,0,0,0,3,3,4,29,50,76,8,13,23,42,21,63,7,3,10,25,9,35,0,0,3,126,104,232,81,51,139
LGA30760,944,958,1903,49,67,118,119,101,215,43,36,83,37,33,67,104,96,200,101,123,220,121,136,257,171,156,321,137,115,258,58,61,126,14,25,42,837,866,1702,112,88,196,45,44,92,3,0,3,3,3,3,58,50,106,849,838,1679,37,52,85,888,887,1773,15,13,30,888,869,1754,13,7,21,106,83,195,25,22,47,0,6,6,9,25,36,238,304,541,48,49,99,237,239,474,79,36,116,112,93,203,9,3,12,860,861,1719,136,146,275
LGA30900,228,201,426,6,16,16,30,26,58,11,6,22,16,22,37,36,44,81,32,19,50,31,18,55,37,29,70,18,5,25,8,3,9,0,0,0,199,172,374,24,27,51,56,50,108,0,0,0,3,3,3,55,57,115,175,146,326,7,18,23,187,157,345,4,9,12,185,158,338,0,7,3,22,21,50,3,3,3,0,3,3,3,6,6,44,61,110,12,5,16,62,35,94,14,15,30,28,9,36,0,0,0,172,143,314,121,86,206
LGA31000,556440,574720,1131155,34759,33161,67922,67529,63822,131355,35109,34840,69948,48925,49360,98289,97604,98089,195695,82075,83882,165961,72118,74664,146777,55295,58700,113996,37384,40939,78318,18558,23437,41994,7071,13833,20904,529175,550741,1079918,27257,23974,51232,7407,7337,14748,650,614,1256,517,546,1064,8570,8495,17070,354980,364182,719165,168577,177769,346352,401533,410663,812201,120710,132510,253221,439591,456177,895770,6160,5807,11965,62837,59649,122486,27409,28532,55946,22078,24839,46915,25239,33508,58747,303929,317421,621352,26489,24365,50857,60482,68393,128877,12665,12625,25295,13074,17764,30845,2581,3325,5906,508276,530407,1038684,44021,42913,86935
LGA31750,187,164,353,4,11,19,19,19,37,4,8,18,9,10,19,26,22,48,29,23,46,29,19,49,42,30,69,17,8,29,5,3,12,3,0,7,171,150,317,23,11,36,13,21,38,0,0,0,0,0,0,17,21,41,156,138,297,13,9,22,169,143,313,4,3,8,159,143,303,0,4,4,18,16,34,0,6,7,0,0,0,0,5,10,37,62,99,16,7,26,49,29,80,14,4,21,21,5,29,0,0,4,156,143,298,164,62,226
LGA31820,45716,47180,92897,2479,2313,4793,6001,5610,11613,2918,2705,5624,2375,2285,4663,4434,4822,9253,4718,5147,9864,5896,6334,12237,6419,6915,13336,6310,6198,12504,3226,3440,6662,941,1408,2348,42606,44769,87372,3107,2414,5523,1600,1711,3309,102,78,180,116,100,215,1814,1891,3708,36729,37741,74468,5305,5802,11108,40525,41788,82305,1862,2177,4042,40232,41548,81778,429,371,808,5473,5133,10606,1735,1708,3438,315,466,779,691,1669,2361,12130,14095,26229,3080,3167,6254,11538,12153,23692,3032,2740,5768,3438,3148,6587,180,144,322,41259,43145,84406,4874,4865,9741
